tenure,InternetService_Fiber optic,Contract_Two year,PaymentMethod_Electronic check,OnlineBackup_No internet service,TechSupport_No internet service,StreamingMovies_No internet service,DeviceProtection_No internet service,StreamingTV_No internet service,InternetService_No,OnlineSecurity_No internet service,TotalCharges,MonthlyCharges,PaperlessBilling,Churn
71,True,True,False,False,False,False,False,False,False,False,6766.95,96.35,1,0
2,True,False,False,False,False,False,False,False,False,False,181.65,95.5,1,0
27,False,False,False,False,False,False,False,False,False,False,1874.45,66.15,0,0
1,False,False,False,True,True,True,True,True,True,True,20.2,20.2,0,0
1,False,False,False,False,False,False,False,False,False,False,45.25,45.25,0,0
72,True,True,False,False,False,False,False,False,False,False,7251.7,99.9,0,0
5,True,False,True,False,False,False,False,False,False,False,316.9,69.7,1,1
46,True,False,False,False,False,False,False,False,False,False,3548.3,74.8,1,0
34,True,False,True,False,False,False,False,False,False,False,3549.25,106.35,1,1
11,True,False,False,False,False,False,False,False,False,False,1105.4,97.85,1,1
10,False,False,False,False,False,False,False,False,False,False,475.7,49.55,0,0
70,False,True,False,False,False,False,False,False,False,False,4872.35,69.2,1,0
17,False,False,False,True,True,True,True,True,True,True,418.25,20.75,0,0
63,False,True,False,False,False,False,False,False,False,False,4861.45,79.85,1,0
13,False,False,True,False,False,False,False,False,False,False,981.45,76.2,1,0
49,True,False,True,False,False,False,False,False,False,False,3906.7,84.5,1,0
2,False,False,False,False,False,False,False,False,False,False,97.0,49.25,0,0
2,True,False,True,False,False,False,False,False,False,False,144.15,80.65,1,1
52,False,True,False,False,False,False,False,False,False,False,4217.8,79.75,1,0
69,False,True,False,False,False,False,False,False,False,False,4254.1,64.15,1,0
43,True,False,True,False,False,False,False,False,False,False,3838.75,90.25,1,0
15,True,False,False,False,False,False,False,False,False,False,1426.4,99.1,1,1
25,False,False,False,False,False,False,False,False,False,False,1752.65,69.5,1,0
8,True,False,False,False,False,False,False,False,False,False,633.3,80.65,1,1
60,False,False,False,False,False,False,False,False,False,False,4456.35,74.85,1,0
18,True,False,True,False,False,False,False,False,False,False,1752.55,95.45,1,1
63,True,False,False,False,False,False,False,False,False,False,6311.2,99.65,1,0
66,True,False,True,False,False,False,False,False,False,False,7076.35,108.45,1,0
34,False,True,False,True,True,True,True,True,True,True,894.3,24.95,0,0
72,True,True,False,False,False,False,False,False,False,False,7853.7,107.5,1,0
47,True,False,True,False,False,False,False,False,False,False,4707.1,100.5,1,0
60,True,False,False,False,False,False,False,False,False,False,5450.7,89.9,1,0
72,False,True,False,False,False,False,False,False,False,False,2962.0,42.1,0,0
18,False,False,False,False,False,False,False,False,False,False,957.1,54.4,1,0
9,True,False,True,False,False,False,False,False,False,False,857.25,94.4,0,1
3,False,False,True,False,False,False,False,False,False,False,244.1,75.3,1,0
47,True,False,True,False,False,False,False,False,False,False,3650.35,78.9,1,0
31,False,True,False,False,False,False,False,False,False,False,2497.2,79.2,0,0
50,False,True,False,True,True,True,True,True,True,True,930.9,20.15,0,0
10,True,False,False,False,False,False,False,False,False,False,887.35,79.85,1,0
1,False,False,False,False,False,False,False,False,False,False,49.05,49.05,0,0
52,False,False,True,True,True,True,True,True,True,True,1090.65,20.4,1,0
64,True,True,False,False,False,False,False,False,False,False,7099.0,111.6,1,0
62,False,True,False,True,True,True,True,True,True,True,1424.6,24.25,1,0
3,False,False,False,False,False,False,False,False,False,False,177.4,64.5,1,0
56,True,False,True,False,False,False,False,False,False,False,6139.5,110.5,0,0
46,False,False,False,False,False,False,False,False,False,False,2688.85,55.65,0,0
8,False,False,False,False,False,False,False,False,False,False,482.25,54.65,0,0
30,False,False,True,False,False,False,False,False,False,False,2111.3,74.75,1,0
45,False,False,False,True,True,True,True,True,True,True,1216.6,25.9,1,0
1,True,False,True,False,False,False,False,False,False,False,79.35,79.35,1,1
11,False,False,True,False,False,False,False,False,False,False,565.35,50.55,0,0
7,True,False,False,False,False,False,False,False,False,False,496.9,75.15,1,1
42,True,False,False,False,False,False,False,False,False,False,4327.5,103.8,1,0
49,False,True,False,True,True,True,True,True,True,True,973.35,20.15,1,0
9,True,False,False,False,False,False,False,False,False,False,918.75,99.3,1,0
35,False,False,False,False,False,False,False,False,False,False,2215.45,62.15,1,0
48,False,True,False,True,True,True,True,True,True,True,1057.0,20.65,0,0
46,False,True,False,True,True,True,True,True,True,True,927.1,19.95,1,0
29,False,False,False,False,False,False,False,False,False,False,1009.25,33.75,0,0
30,True,False,False,False,False,False,False,False,False,False,2570.2,82.05,0,0
1,True,False,True,False,False,False,False,False,False,False,74.7,74.7,0,0
66,False,True,False,False,False,False,False,False,False,False,5714.25,84.0,1,0
65,True,False,False,False,False,False,False,False,False,False,7107.0,111.05,1,0
72,True,True,False,False,False,False,False,False,False,False,7459.05,100.9,1,0
12,True,False,True,False,False,False,False,False,False,False,927.35,78.95,1,1
71,False,False,False,False,False,False,False,False,False,False,4748.7,66.85,1,0
5,False,False,False,True,True,True,True,True,True,True,113.85,21.05,0,1
52,False,True,False,True,True,True,True,True,True,True,1107.2,21.0,0,0
25,True,False,True,False,False,False,False,False,False,False,2514.5,98.5,1,1
1,False,False,False,True,True,True,True,True,True,True,20.2,20.2,0,0
1,False,False,True,True,True,True,True,True,True,True,19.45,19.45,0,0
38,True,False,False,False,False,False,False,False,False,False,3605.6,95.0,0,0
66,False,False,False,False,False,False,False,False,False,False,3027.25,45.55,0,0
68,True,True,False,False,False,False,False,False,False,False,7611.85,110.0,1,1
5,False,False,False,False,False,False,False,False,False,False,100.2,24.3,0,0
72,True,False,True,False,False,False,False,False,False,False,7303.05,104.15,1,0
32,False,False,False,False,False,False,False,False,False,False,927.65,30.15,0,0
43,True,False,False,False,False,False,False,False,False,False,3921.3,94.35,0,0
72,False,True,False,True,True,True,True,True,True,True,1363.25,19.4,0,0
55,True,False,True,False,False,False,False,False,False,False,5238.9,96.75,1,1
52,False,False,False,False,False,False,False,False,False,False,3042.25,57.95,0,0
43,True,False,True,False,False,False,False,False,False,False,3954.1,91.65,1,0
37,True,False,True,False,False,False,False,False,False,False,2868.15,76.5,1,1
64,False,True,True,False,False,False,False,False,False,False,3423.5,54.6,1,0
3,True,False,True,False,False,False,False,False,False,False,248.4,89.85,0,0
36,False,True,False,False,False,False,False,False,False,False,1126.35,31.05,0,0
10,True,False,True,False,False,False,False,False,False,False,1064.65,100.25,1,1
41,False,True,False,True,True,True,True,True,True,True,835.15,20.65,0,0
27,True,False,False,False,False,False,False,False,False,False,2151.6,85.2,1,0
56,True,False,False,False,False,False,False,False,False,False,5515.45,99.8,1,0
6,False,False,False,True,True,True,True,True,True,True,112.75,20.7,0,0
3,True,False,True,False,False,False,False,False,False,False,229.55,74.4,1,1
7,False,False,False,False,False,False,False,False,False,False,350.35,50.7,0,0
4,False,False,False,True,True,True,True,True,True,True,62.9,20.85,0,0
33,True,True,True,False,False,False,False,False,False,False,3027.65,88.95,1,0
27,True,False,True,False,False,False,False,False,False,False,2135.5,78.05,1,1
72,False,True,False,True,True,True,True,True,True,True,1723.95,23.55,1,0
1,False,False,False,True,True,True,True,True,True,True,19.75,19.75,0,0
71,False,False,True,False,False,False,False,False,False,False,3985.35,56.45,1,0
13,True,False,True,False,False,False,False,False,False,False,1215.65,85.95,1,0
25,False,False,False,False,False,False,False,False,False,False,1502.65,58.6,1,1
67,False,True,False,False,False,False,False,False,False,False,3260.1,50.55,0,0
1,False,False,True,False,False,False,False,False,False,False,35.45,35.45,1,1
2,False,False,True,False,False,False,False,False,False,False,81.25,44.35,0,1
43,False,True,False,True,True,True,True,True,True,True,1188.2,25.7,1,0
23,True,False,False,False,False,False,False,False,False,False,1778.5,75.0,1,0
64,False,True,False,True,True,True,True,True,True,True,1277.75,20.2,0,0
57,False,True,False,True,True,True,True,True,True,True,1170.55,19.6,1,0
1,True,False,False,False,False,False,False,False,False,False,70.45,70.45,1,1
72,False,True,False,False,False,False,False,False,False,False,6425.65,88.05,1,0
8,False,False,True,False,False,False,False,False,False,False,563.65,71.15,0,1
61,True,True,False,False,False,False,False,False,False,False,5971.25,101.05,1,0
64,True,False,False,False,False,False,False,False,False,False,5289.05,84.3,1,0
71,False,True,False,True,True,True,True,True,True,True,1756.2,23.95,0,0
65,True,True,False,False,False,False,False,False,False,False,6416.7,99.05,1,0
3,False,False,False,True,True,True,True,True,True,True,61.35,19.6,0,0
1,False,False,True,False,False,False,False,False,False,False,45.65,45.65,1,1
30,False,False,False,False,False,False,False,False,False,False,1929.95,64.5,0,0
15,False,False,False,False,False,False,False,False,False,False,1071.4,69.5,1,0
8,False,False,True,False,False,False,False,False,False,False,564.35,68.55,1,0
7,True,False,False,False,False,False,False,False,False,False,655.5,95.0,0,1
70,True,False,False,False,False,False,False,False,False,False,7930.55,108.15,1,0
62,False,True,True,False,False,False,False,False,False,False,5215.25,86.1,0,0
6,False,False,False,True,True,True,True,True,True,True,113.5,19.7,0,0
14,True,False,False,False,False,False,False,False,False,False,1152.8,80.9,1,0
22,True,False,False,False,False,False,False,False,False,False,1821.95,84.15,1,0
22,False,False,False,True,True,True,True,True,True,True,419.9,20.15,0,0
16,False,True,False,False,False,False,False,False,False,False,1024.0,64.25,0,0
10,False,True,False,True,True,True,True,True,True,True,251.6,25.7,0,0
13,False,False,True,False,False,False,False,False,False,False,764.55,56.0,1,0
20,True,False,True,False,False,False,False,False,False,False,1592.35,82.4,0,1
2,True,False,True,False,False,False,False,False,False,False,135.2,69.7,1,0
53,False,True,False,False,False,False,False,False,False,False,3958.25,73.9,1,0
11,False,False,False,True,True,True,True,True,True,True,233.9,20.6,0,0
69,False,True,False,True,True,True,True,True,True,True,1363.45,19.9,0,0
4,True,False,False,False,False,False,False,False,False,False,273.0,70.9,1,1
72,False,True,False,False,False,False,False,False,False,False,6254.45,89.05,1,0
58,False,False,True,False,False,False,False,False,False,False,2651.2,45.3,1,1
16,False,False,True,True,True,True,True,True,True,True,321.4,20.4,0,0
43,True,False,False,False,False,False,False,False,False,False,3539.25,84.25,1,0
2,True,False,True,False,False,False,False,False,False,False,242.8,104.4,1,1
14,False,True,False,False,False,False,False,False,False,False,1181.75,81.95,0,0
53,True,False,False,False,False,False,False,False,False,False,5000.2,94.85,1,1
32,False,False,False,True,True,True,True,True,True,True,654.55,20.55,0,0
34,False,False,True,True,True,True,True,True,True,True,780.2,24.7,0,0
15,True,False,False,False,False,False,False,False,False,False,1145.7,74.45,1,1
7,True,False,False,False,False,False,False,False,False,False,503.6,76.45,0,1
15,True,False,False,False,False,False,False,False,False,False,1559.25,105.35,1,0
61,False,False,False,True,True,True,True,True,True,True,1252.0,20.55,1,0
1,False,False,False,False,False,False,False,False,False,False,29.95,29.95,0,1
1,False,False,False,False,False,False,False,False,False,False,45.3,45.3,0,0
8,True,False,False,False,False,False,False,False,False,False,662.65,84.5,0,1
33,False,False,False,False,False,False,False,False,False,False,2453.3,74.75,0,0
13,True,False,True,False,False,False,False,False,False,False,1111.65,79.25,1,1
1,False,False,True,False,False,False,False,False,False,False,24.8,24.8,1,1
20,False,False,False,False,False,False,False,False,False,False,1023.85,51.8,1,0
3,False,False,True,False,False,False,False,False,False,False,82.15,30.4,0,0
13,False,False,True,True,True,True,True,True,True,True,244.8,19.65,0,0
40,False,False,False,False,False,False,False,False,False,False,2379.1,56.6,0,0
43,False,False,False,False,False,False,False,False,False,False,3173.35,71.9,1,0
6,True,False,True,False,False,False,False,False,False,False,531.0,91.0,1,1
69,False,True,False,True,True,True,True,True,True,True,1375.4,19.75,0,0
72,True,True,False,False,False,False,False,False,False,False,8129.3,109.7,0,0
59,False,True,False,True,True,True,True,True,True,True,1192.7,19.3,0,0
20,True,False,True,False,False,False,False,False,False,False,1901.65,96.55,1,0
24,False,True,False,True,True,True,True,True,True,True,587.4,24.1,1,0
59,True,False,True,False,False,False,False,False,False,False,6519.75,111.35,1,0
72,True,True,False,False,False,False,False,False,False,False,8041.65,112.25,1,0
1,False,False,False,True,True,True,True,True,True,True,20.75,20.75,0,0
27,True,False,False,False,False,False,False,False,False,False,2681.15,101.9,1,0
14,True,False,False,False,False,False,False,False,False,False,1112.3,80.05,1,0
71,True,True,True,False,False,False,False,False,False,False,7405.5,105.55,0,0
13,True,False,False,False,False,False,False,False,False,False,1033.95,78.3,1,0
44,True,False,False,False,False,False,False,False,False,False,2958.95,68.85,0,0
33,True,False,False,False,False,False,False,False,False,False,2684.85,79.95,1,0
72,False,True,False,False,False,False,False,False,False,False,4179.2,55.45,1,0
1,True,False,True,False,False,False,False,False,False,False,79.9,79.9,0,1
19,True,False,True,False,False,False,False,False,False,False,1934.45,106.6,1,1
64,True,False,False,False,False,False,False,False,False,False,6654.1,102.45,1,0
2,False,False,False,False,False,False,False,False,False,False,84.5,46.0,1,1
1,False,False,True,False,False,False,False,False,False,False,25.25,25.25,0,0
61,False,True,False,True,True,True,True,True,True,True,1124.2,19.75,0,0
29,False,False,True,True,True,True,True,True,True,True,540.05,20.0,0,0
23,True,False,True,False,False,False,False,False,False,False,1975.85,86.8,0,0
57,False,False,False,False,False,False,False,False,False,False,3437.45,58.75,1,0
72,False,True,False,False,False,False,False,False,False,False,3139.8,45.25,0,0
66,False,True,False,False,False,False,False,False,False,False,3789.2,56.6,1,0
65,False,True,False,False,False,False,False,False,False,False,5324.5,84.2,1,0
8,True,False,False,False,False,False,False,False,False,False,624.6,80.0,1,0
4,True,False,True,False,False,False,False,False,False,False,268.35,70.15,1,1
71,False,True,False,True,True,True,True,True,True,True,1836.9,24.75,0,0
1,False,False,True,True,True,True,True,True,True,True,20.2,20.2,1,0
4,False,False,False,False,False,False,False,False,False,False,179.35,50.05,0,1
12,False,False,False,True,True,True,True,True,True,True,219.35,19.35,1,0
24,False,False,False,False,False,False,False,False,False,False,1288.75,50.6,1,0
31,False,False,False,False,False,False,False,False,False,False,2545.75,81.15,1,0
1,False,False,False,False,False,False,False,False,False,False,55.2,55.2,0,1
30,True,False,False,False,False,False,False,False,False,False,2723.15,89.9,1,0
47,False,True,False,False,False,False,False,False,False,False,4107.25,85.3,1,0
54,True,True,False,False,False,False,False,False,False,False,5760.65,108.0,1,0
50,True,False,False,False,False,False,False,False,False,False,4747.5,93.5,1,0
1,True,False,False,False,False,False,False,False,False,False,84.6,84.6,1,1
72,False,True,False,True,True,True,True,True,True,True,1566.9,20.25,0,0
29,False,False,True,True,True,True,True,True,True,True,702.0,25.15,0,0
2,False,False,False,False,False,False,False,False,False,False,114.1,54.4,1,1
10,False,True,False,False,False,False,False,False,False,False,299.05,29.6,1,0
18,True,False,True,False,False,False,False,False,False,False,1305.95,73.15,1,0
11,True,False,True,False,False,False,False,False,False,False,1120.3,95.0,1,1
16,False,True,False,True,True,True,True,True,True,True,284.35,19.75,0,0
72,False,True,False,False,False,False,False,False,False,False,6350.5,86.6,0,0
72,True,True,False,False,False,False,False,False,False,False,7878.3,109.2,0,0
41,False,False,False,False,False,False,False,False,False,False,3187.65,74.7,1,0
65,True,False,True,False,False,False,False,False,False,False,6126.15,94.4,0,0
13,False,False,True,False,False,False,False,False,False,False,731.3,54.8,1,0
4,True,False,True,False,False,False,False,False,False,False,273.4,75.35,0,0
41,False,False,False,False,False,False,False,False,False,False,2531.8,65.0,0,0
15,True,False,True,False,False,False,False,False,False,False,1074.3,74.4,1,1
1,False,False,False,False,False,False,False,False,False,False,48.55,48.55,1,1
42,True,False,True,False,False,False,False,False,False,False,4298.45,99.0,1,0
51,True,False,True,False,False,False,False,False,False,False,4619.55,93.5,1,0
2,True,False,True,False,False,False,False,False,False,False,147.15,70.4,0,1
1,False,False,True,False,False,False,False,False,False,False,40.2,40.2,0,1
32,False,False,False,False,False,False,False,False,False,False,2633.3,83.7,0,0
10,False,False,False,True,True,True,True,True,True,True,193.05,19.85,1,0
67,False,True,True,False,False,False,False,False,False,False,4103.9,59.55,1,0
61,True,True,False,False,False,False,False,False,False,False,7008.15,115.1,0,0
50,True,False,False,False,False,False,False,False,False,False,5791.1,114.35,0,0
2,False,False,False,False,False,False,False,False,False,False,80.55,44.6,1,1
29,False,False,True,False,False,False,False,False,False,False,1228.65,45.0,1,0
3,False,False,True,False,False,False,False,False,False,False,132.2,41.15,1,1
13,True,False,True,False,False,False,False,False,False,False,1364.3,106.9,1,1
57,True,False,True,False,False,False,False,False,False,False,4925.35,89.85,1,0
31,False,True,False,False,False,False,False,False,False,False,1520.1,49.85,1,0
45,True,False,False,False,False,False,False,False,False,False,5032.25,113.3,0,0
61,False,True,False,False,False,False,False,False,False,False,5526.75,88.1,0,0
50,False,True,False,True,True,True,True,True,True,True,1195.25,24.9,0,0
19,True,False,False,False,False,False,False,False,False,False,2007.25,105.0,1,0
59,False,True,False,True,True,True,True,True,True,True,1099.6,19.35,0,1
71,False,True,False,True,True,True,True,True,True,True,1732.95,24.25,1,0
16,True,False,True,False,False,False,False,False,False,False,1511.2,94.45,1,1
57,False,True,True,False,False,False,False,False,False,False,3450.15,59.75,1,0
1,False,False,False,False,False,False,False,False,False,False,24.8,24.8,0,1
20,True,False,True,False,False,False,False,False,False,False,2172.05,107.05,0,0
1,True,False,False,False,False,False,False,False,False,False,70.6,70.6,0,1
5,True,False,True,False,False,False,False,False,False,False,401.1,85.4,1,1
52,True,False,True,False,False,False,False,False,False,False,5624.85,105.05,1,1
21,False,False,False,False,False,False,False,False,False,False,1339.8,64.95,1,0
14,False,False,True,False,False,False,False,False,False,False,771.95,55.0,1,0
5,False,False,False,False,False,False,False,False,False,False,244.75,50.55,0,0
6,False,False,False,False,False,False,False,False,False,False,322.9,55.15,0,0
10,False,False,True,False,False,False,False,False,False,False,498.25,51.2,0,0
1,False,False,False,True,True,True,True,True,True,True,25.4,25.4,0,0
68,False,False,False,False,False,False,False,False,False,False,3687.75,54.45,0,0
18,True,False,False,False,False,False,False,False,False,False,1779.95,95.15,0,1
22,True,False,False,False,False,False,False,False,False,False,1783.6,76.0,1,0
20,False,False,True,False,False,False,False,False,False,False,927.15,44.35,1,0
1,True,False,True,False,False,False,False,False,False,False,70.0,70.0,0,1
8,True,False,True,False,False,False,False,False,False,False,606.55,74.5,1,1
10,False,False,False,False,False,False,False,False,False,False,435.4,44.85,1,1
24,True,False,True,False,False,False,False,False,False,False,1712.7,76.1,1,1
35,False,False,False,False,False,False,False,False,False,False,2021.2,61.2,0,0
23,True,False,False,False,False,False,False,False,False,False,1940.8,86.8,0,0
6,True,False,True,False,False,False,False,False,False,False,567.8,89.35,1,0
12,False,False,False,True,True,True,True,True,True,True,220.35,19.7,0,0
1,False,False,False,True,True,True,True,True,True,True,20.25,20.25,0,0
71,True,True,True,False,False,False,False,False,False,False,5436.45,76.05,0,0
35,True,False,True,False,False,False,False,False,False,False,3437.5,100.8,1,0
40,False,False,True,False,False,False,False,False,False,False,3015.75,74.55,1,0
1,True,False,False,False,False,False,False,False,False,False,73.6,73.6,1,1
23,False,False,False,False,False,False,False,False,False,False,1509.8,64.9,1,0
4,True,False,True,False,False,False,False,False,False,False,396.1,95.45,1,1
4,True,False,True,False,False,False,False,False,False,False,356.65,90.4,1,0
68,False,True,False,False,False,False,False,False,False,False,4109.0,60.3,0,0
38,True,False,False,False,False,False,False,False,False,False,3141.7,81.85,1,0
52,False,True,False,True,True,True,True,True,True,True,1229.1,24.8,0,0
32,True,False,True,False,False,False,False,False,False,False,2303.35,74.9,1,1
29,False,True,False,False,False,False,False,False,False,False,2054.4,75.55,0,0
38,True,False,True,False,False,False,False,False,False,False,3741.85,101.15,0,0
48,False,False,False,False,False,False,False,False,False,False,3682.45,78.75,1,0
1,False,False,False,True,True,True,True,True,True,True,19.25,19.25,1,0
22,True,False,True,False,False,False,False,False,False,False,1886.25,89.05,1,0
43,True,True,False,False,False,False,False,False,False,False,4895.1,115.05,0,0
5,True,False,True,False,False,False,False,False,False,False,341.6,69.35,1,0
5,True,False,True,False,False,False,False,False,False,False,415.55,80.6,1,1
51,True,False,False,False,False,False,False,False,False,False,5686.4,110.05,0,0
71,False,True,False,True,True,True,True,True,True,True,1355.1,19.9,1,0
38,False,False,False,False,False,False,False,False,False,False,3058.65,80.3,0,1
24,True,False,True,False,False,False,False,False,False,False,2231.05,93.15,1,1
35,True,False,False,False,False,False,False,False,False,False,3236.35,91.5,1,0
54,False,False,False,False,False,False,False,False,False,False,4350.1,82.45,0,1
72,False,True,True,False,False,False,False,False,False,False,4264.0,60.0,1,0
1,False,False,True,False,False,False,False,False,False,False,44.8,44.8,1,0
9,False,False,False,False,False,False,False,False,False,False,422.3,48.6,0,0
69,False,True,False,False,False,False,False,False,False,False,4176.7,60.05,1,0
52,True,False,False,False,False,False,False,False,False,False,5138.1,102.7,1,0
11,True,False,True,False,False,False,False,False,False,False,880.05,82.9,1,0
2,True,False,True,False,False,False,False,False,False,False,139.05,70.35,1,1
28,False,False,True,False,False,False,False,False,False,False,973.65,35.9,1,0
17,True,False,False,False,False,False,False,False,False,False,1470.05,82.65,1,0
35,False,True,False,True,True,True,True,True,True,True,739.35,19.85,1,0
8,False,False,False,True,True,True,True,True,True,True,161.95,19.2,1,0
46,True,False,False,False,False,False,False,False,False,False,4422.95,94.9,1,0
7,True,False,True,False,False,False,False,False,False,False,511.25,73.85,1,1
2,True,False,False,False,False,False,False,False,False,False,155.8,80.6,0,1
68,False,False,False,False,False,False,False,False,False,False,5293.95,75.8,1,1
43,True,True,True,False,False,False,False,False,False,False,4759.85,104.6,1,1
68,False,True,True,False,False,False,False,False,False,False,6148.45,88.15,1,0
36,True,False,False,False,False,False,False,False,False,False,3565.65,94.8,1,0
63,True,False,True,False,False,False,False,False,False,False,6603.0,103.4,1,1
32,False,False,False,False,False,False,False,False,False,False,1830.1,54.65,0,0
71,False,True,False,False,False,False,False,False,False,False,6223.8,85.75,0,0
66,False,False,False,False,False,False,False,False,False,False,4508.65,67.45,1,0
63,False,False,False,True,True,True,True,True,True,True,1328.15,20.5,0,0
41,False,False,False,True,True,True,True,True,True,True,865.0,20.25,1,0
1,True,False,True,False,False,False,False,False,False,False,72.1,72.1,1,0
2,True,False,True,False,False,False,False,False,False,False,168.2,90.4,1,1
70,False,True,False,True,True,True,True,True,True,True,1303.5,19.45,0,0
23,False,False,True,False,False,False,False,False,False,False,996.85,44.95,1,0
64,True,False,False,False,False,False,False,False,False,False,6430.9,97.0,0,0
37,False,True,False,False,False,False,False,False,False,False,2278.75,62.8,1,0
17,False,False,False,False,False,False,False,False,False,False,681.4,44.6,0,0
7,True,False,True,False,False,False,False,False,False,False,574.35,89.15,1,0
4,True,False,False,False,False,False,False,False,False,False,371.9,84.8,1,1
21,False,False,True,False,False,False,False,False,False,False,840.1,41.9,1,1
10,True,False,False,False,False,False,False,False,False,False,846.0,80.25,1,1
16,False,False,True,False,False,False,False,False,False,False,889.0,54.1,1,0
64,True,True,True,False,False,False,False,False,False,False,6823.4,105.25,1,0
27,False,False,False,False,False,False,False,False,False,False,805.1,30.75,0,1
42,True,False,True,False,False,False,False,False,False,False,4016.75,97.1,0,0
5,False,False,False,True,True,True,True,True,True,True,83.75,20.2,0,0
41,True,True,False,False,False,False,False,False,False,False,3959.15,98.8,1,0
58,False,False,False,False,False,False,False,False,False,False,2878.55,50.3,0,0
47,False,True,False,True,True,True,True,True,True,True,945.7,20.55,1,0
18,True,False,False,False,False,False,False,False,False,False,1373.05,75.9,1,0
5,True,False,False,False,False,False,False,False,False,False,492.55,96.5,0,1
23,False,False,False,False,False,False,False,False,False,False,1406.0,59.95,1,0
1,False,False,False,True,True,True,True,True,True,True,19.15,19.15,0,0
71,True,False,False,False,False,False,False,False,False,False,6962.85,98.65,1,0
72,True,True,False,False,False,False,False,False,False,False,8126.65,112.6,1,0
33,False,False,False,True,True,True,True,True,True,True,690.25,20.6,0,0
2,True,False,True,False,False,False,False,False,False,False,181.5,85.65,1,1
24,False,True,False,False,False,False,False,False,False,False,830.8,35.75,0,0
56,True,False,False,False,False,False,False,False,False,False,5608.4,99.75,1,0
37,True,False,False,False,False,False,False,False,False,False,3646.8,96.1,1,0
43,False,False,False,False,False,False,False,False,False,False,3662.25,85.1,0,0
1,False,False,False,False,False,False,False,False,False,False,25.35,25.35,0,0
25,True,False,False,False,False,False,False,False,False,False,2566.5,104.95,1,1
61,False,True,True,False,False,False,False,False,False,False,5308.7,89.65,0,0
17,True,False,True,False,False,False,False,False,False,False,1410.25,86.75,0,0
41,True,False,False,False,False,False,False,False,False,False,3339.05,86.2,1,0
1,False,False,False,False,False,False,False,False,False,False,50.65,50.65,0,1
72,False,True,False,False,False,False,False,False,False,False,4732.35,64.8,1,0
1,True,False,False,False,False,False,False,False,False,False,90.85,90.85,1,1
48,True,True,False,False,False,False,False,False,False,False,5067.45,108.1,1,0
11,False,False,False,True,True,True,True,True,True,True,214.75,19.95,0,1
55,True,False,True,False,False,False,False,False,False,False,4874.7,85.45,1,1
42,False,False,True,False,False,False,False,False,False,False,2348.45,54.75,1,0
44,True,False,False,False,False,False,False,False,False,False,4063.0,90.4,1,0
1,False,False,True,False,False,False,False,False,False,False,44.0,44.0,0,0
27,True,False,False,False,False,False,False,False,False,False,2595.25,95.6,1,0
27,False,False,False,False,False,False,False,False,False,False,2309.55,84.8,1,0
2,False,False,True,False,False,False,False,False,False,False,89.3,44.3,1,0
19,False,False,False,True,True,True,True,True,True,True,367.55,19.9,0,0
42,True,False,True,False,False,False,False,False,False,False,3944.5,95.05,1,0
